Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Requested Quantity 2,Pack Quantity 2,Pack Type 2,Digi-Key Part Number 2,Unit Price 2,Extended Price 2,Minimum Order Quantity 2,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image
30,219-8LPSTRF,CTS Electrocomponents,SWITCH SLIDE DIP SPST 100MA 20V,"50,331",In Stock,,1,1,Cut Tape (CT),CT3120CT-ND,1.94000,$1.94,1,212,212,Cut Tape (CT),CT3120CT-ND,1.50690,$319.46,1,,CT3120CT-ND,24,https://www.ctscorp.com/wp-content/uploads/219.pdf,,-,,Active,ROHS3 Compliant,EAR99,8536.50.9065,Taiwan,https://www.ctscorp.com/wp-content/uploads/ROHS3_DIPTactSwitch.pdf,CT3120CT-ND,https://media.digikey.com/Photos/CTS Photos/MFG_219-8LPSTRF.jpg
31,DMP2065UFDB-7,Diodes Incorporated,MOSFET 2 P-CH 20V 4.5A DFN2020-6,0,Normally Stocking,,2,2,Cut Tape (CT),DMP2065UFDB-7DICT-ND,0.86000,$1.72,1,22,22,Cut Tape (CT),DMP2065UFDB-7DICT-ND,0.73800,$16.24,1,,DMP2065UFDB-7DICT-ND,52,https://www.diodes.com/assets/Datasheets/DMP2065UFDB.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8541.29.0095,China,https://www.diodes.com/assets/Quality-Reliability-Docs/Master_CofC.pdf,DMP2065UFDB-7DICT-ND,https://media.digikey.com/Renders/Diodes%20Renders/31;%20U-DFN2020B-6;%20B;%206.jpg
32,LD1117S33TR,STMicroelectronics,IC REG LINEAR 3.3V 800MA SOT223,0,Normally Stocking,,1,1,Cut Tape (CT),497-1242-1-ND,1.06000,$1.06,1,16450,15000,Tape & Reel (TR),497-1242-2-ND,0.39968,"$5,995.20",2500,,497-1242-1-ND,54,https://www.st.com/content/ccc/resource/technical/document/datasheet/99/3b/7d/91/91/51/4b/be/CD00000544.pdf/files/CD00000544.pdf/jcr:content/translations/en.CD00000544.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8542.39.0001,China,,497-1242-1-ND,https://media.digikey.com/photos/STMicro%20Photos/SOT-223.jpg
32,LD1117S33TR,STMicroelectronics,IC REG LINEAR 3.3V 800MA SOT223,,,,,,,,,,,,1450,Cut Tape (CT),497-1242-1-ND,0.41156,$596.76,1,,497-1242-1-ND,,,,,,,,,,,,,
33,LD1117S50TR,STMicroelectronics,IC REG LINEAR 5V 800MA SOT223,0,Normally Stocking,,1,1,Cut Tape (CT),497-6447-1-ND,1.06000,$1.06,1,8373,7500,Tape & Reel (TR),497-6447-2-ND,0.39968,"$2,997.60",2500,,497-6447-1-ND,54,https://www.st.com/content/ccc/resource/technical/document/datasheet/99/3b/7d/91/91/51/4b/be/CD00000544.pdf/files/CD00000544.pdf/jcr:content/translations/en.CD00000544.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8542.39.0001,China,,497-6447-1-ND,https://media.digikey.com/Renders/Diodes%20Renders/SOT223-3L.jpg
33,LD1117S50TR,STMicroelectronics,IC REG LINEAR 5V 800MA SOT223,,,,,,,,,,,,873,Cut Tape (CT),497-6447-1-ND,0.53260,$464.96,1,,497-6447-1-ND,,,,,,,,,,,,,
34,SN74LV123ARGYR,Texas Instruments,IC MULTIVIBRATOR 13NS 16VQFN,0,Normally Stocking,,1,1,Cut Tape (CT),296-13931-1-ND,1.11000,$1.11,1,15329,15000,Tape & Reel (TR),296-13931-2-ND,0.44332,"$6,649.80",3000,,296-13931-1-ND,55,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lv123a,,-,,Active,ROHS3 Compliant,EAR99,8542.39.0001,Malaysia,,296-13931-1-ND,"https://media.digikey.com/Renders/Texas%20Instr%20Renders/16-VQFN,RGY%20%28exposed%20pad%29.JPG"
34,SN74LV123ARGYR,Texas Instruments,IC MULTIVIBRATOR 13NS 16VQFN,,,,,,,,,,,,329,Cut Tape (CT),296-13931-1-ND,0.69024,$227.09,1,,296-13931-1-ND,,,,,,,,,,,,,
35,NLV37WZ17USG,onsemi,IC BUFFER NON-INVERT 5.5V US8,0,Normally Stocking,,1,1,Cut Tape (CT),488-NLV37WZ17USGCT-ND,1.19000,$1.19,1,31005,30000,Tape & Reel (TR),488-NLV37WZ17USGTR-ND,0.39833,"$11,949.90",3000,,488-NLV37WZ17USGCT-ND,12,https://www.onsemi.com/pdf/datasheet/nl37wz17-d.pdf,,-,,Active,ROHS3 Compliant,EAR99,8542.39.0001,-,https://www.onsemi.com/site/pdf/RoHS-statement.pdf|https://www.onsemi.com/site/pdf/REACH-compliance-statement.pdf|https://www.onsemi.com/PowerSolutions/MaterialComposition.do?export=pdf&opnId=NLV37WZ17USG,NC7NZ17K8XCT-ND,https://media.digikey.com/Renders/On%20Semi%20Renders/US8_493.jpg
35,NLV37WZ17USG,onsemi,IC BUFFER NON-INVERT 5.5V US8,,,,,,,,,,,,1005,Cut Tape (CT),488-NLV37WZ17USGCT-ND,0.50795,$510.49,1,,488-NLV37WZ17USGCT-ND,,,,,,,,,,,,,
